,JobCategory_ID,Job_Title,Company,City,TechHub_ID
265,4,Senior Finance Manager - Revenue Analysis,Assurance,Bellevue,7
266,4,Sr. Global Transaction Manager,Snap Inc.,Seattle,7
267,4,"Director, Revenue Strategy",Auth0,Bellevue,7
268,4,Accounts Payable Specialist,Unity Technologies,Bellevue,7
269,4,Manager of Revenue,Axon,Seattle,7
270,5,Azure Solutions Engineer,Maven Wave,Chicago,2
271,5,Business Development Manager,NextCapital,Chicago,2
272,5,Senior Customer Service Manager,Supernova,Chicago,2
273,5,Inside Sales Representative,HomeAdvisor,Chicago,2
274,5,"Account Manager, Strategic Alliances",Vibes,Chicago,2
275,5,Sales Systems Administrator,Catalant Technologies,Greater Boston Area,1
276,5,Cyber Security Pre Sales Engineer,Immersive Labs,Greater Boston Area,1
277,5,Senior Enterprise Account Executive,Mirakl,Somerville,1
278,5,Enterprise Account Executive,Thought Industries,Greater Boston Area,1
279,5,Business Development Representative,Thought Industries,Greater Boston Area,1
280,5,Account Manager,ePayPolicy,Austin,0
281,5,Solutions Consultant (Germany),Medallia,Remote,0
282,5,SLED Account Development Representative-Duo,Duo Security,Austin,0
283,5,Solutions Architect,LogicMonitor,Austin,0
284,5,"Solutions Engineer, Commercial Sales (Austin, TX)",ThousandEyes,Austin,0
285,5,Account Executive,Snowflake,Remote,3
286,5,Account Manager,"Apostrophe, Inc.",Greater Denver Area,3
287,5,Sales Development Representative (SDR),PlayerLync,Greater Denver Area,3
288,5,Technical Account Manager,Nylas,Greater Denver Area,3
289,5,Sales Representative,"AptAmigo, Inc",Greater Denver Area,3
290,5,Strategic Partnerships - Cloud,IEX,Greater NYC Area,5
291,5,Financial Services Sales Executive,AlphaSense,Greater NYC Area,5
292,5,Provider Partnerships Contracting Associate (,Covera Health,Greater NYC Area,5
293,5,"Strategic Account Manager, Jira Align",Atlassian,Greater NYC Area,5
294,5,Business Development Director – Partnerships,Unqork,Greater NYC Area,5
295,6,Sr. Business Intelligence Engineer,Alliant Credit Union,Chicago,2
296,6,"Senior Manager, Data Engineering",Integral Ad Science,Chicago,2
297,6,Senior Big Data Engineer- Data Warehouse,Integral Ad Science,Chicago,2
298,6,Cell Culture Research Associate (11 am – 7 pm),Tempus,Chicago,2
299,6,"Senior Database Engineer, SQL/Python",DRW,Chicago,2
300,6,Machine Learning Engineer,Kensho Technologies,Cambridge,1
301,6,Senior Cloud DevOps Engineer,Agero + Swoop,Greater Boston Area,1
302,6,"Business Intelligence Analyst, Customer Experience",Drizly,Greater Boston Area,1
303,6,Software Engineer in Big Data Integration,Arcadia,Greater Boston Area,1
304,6,Data Integration Engineer,Arcadia,Greater Boston Area,1
305,6,Database Administrator,LeanDNA,Austin,0
306,6,"Manager, Data Engineering",A Cloud Guru,Austin,0
307,6,NLP Engineer,Iodine Software,Austin,0
308,6,Big Data Engineer,Cloudflare,Austin,0
309,6,Senior Data Engineer,Bestow,Austin,0
310,6,Senior Data Analyst for Product Growth,CircleCI,Greater Denver Area,3
311,6,SQL Server DBA,Procare Solutions,Greater Denver Area,3
312,6,Automotive Claims Adjuster,Fluid Truck Share,Greater Denver Area,3
313,6,Senior Business Intelligence Analyst,Alto Pharmacy,Greater Denver Area,3
314,6,Portfolio Management Analyst,Wunder Capital,Greater Boulder Area,3
315,6,Head of Data Science,Saturn Cloud,Remote,5
316,6,Junior Developer,DriveWealth,Greater NYC Area,5
317,6,Senior Data Scientist,Hopper,Greater NYC Area,5
318,6,Manager of Client Strategy and Analytics,Bliss Point Media,Greater NYC Area,5
319,6,Software Engineer - Data Engineering,Addepar,Greater NYC Area,5
320,6,Senior/Principal Data Engineer (Data Insights),Rally Health,San Francisco,6
321,6,Data Architect,iManage,San Francisco,6
322,6,Senior Software Engineer - Machine Learning,Discord,San Francisco,6
323,6,Senior Data Analyst,Cisco Meraki,San Francisco,6
324,6,Channel Operations Specialist – Partner Support,Cisco Meraki,San Francisco,6
325,6,"Engineering Manager, Data Products",Discord,San Francisco,6
326,6,Senior Data Analyst,Cisco Meraki,San Francisco,6
327,6,Senior Software Engineer - Machine Learning,Discord,San Francisco,6
328,6,Channel Operations Specialist – Partner Support,Cisco Meraki,San Francisco,6
329,6,"Architect, AI Infrastructure",Cisco Meraki,San Francisco,6
330,6,"Software Engineer, Machine Learning",Postmates Inc.,Bellevue,7
331,6,"Data Scientist, Relevancy Ranking Algorithms - 6 Month Contract Position",Getty Images,Seattle,7
332,6,Program Effectiveness Manager,Outreach,Seattle,7
333,6,Back End Software Engineer,98point6,Seattle,7
334,6,Senior Data Engineer,98point6,Seattle,7
